Date,Open,High,Low,Close,Adj Close,Volume
01-12-2017,83.599998,84.809998,83.220001,84.260002,79.15065,29532100
04-12-2017,84.419998,84.43,80.699997,81.080002,76.163475,39094900
05-12-2017,81.339996,82.68,80.980003,81.589996,76.642532,26152300
06-12-2017,81.550003,83.139999,81.43,82.779999,77.760376,26162100
07-12-2017,82.540001,82.800003,82,82.489998,77.487968,23184500
08-12-2017,83.629997,84.580002,83.330002,84.160004,79.056694,24489100
11-12-2017,84.290001,85.370003,84.120003,85.230003,80.061821,22857900
12-12-2017,85.309998,86.050003,85.080002,85.580002,80.390602,23924100
13-12-2017,85.739998,86,85.169998,85.349998,80.174561,22062700
14-12-2017,85.43,85.870003,84.529999,84.690002,79.554596,19306000
15-12-2017,85.260002,87.089996,84.879997,86.849998,81.583595,53936700
18-12-2017,87.120003,87.5,86.230003,86.379997,81.142097,22283800
19-12-2017,86.349998,86.349998,85.269997,85.830002,80.625435,23524800
20-12-2017,86.199997,86.300003,84.709999,85.519997,80.334251,23674900
21-12-2017,86.050003,86.099998,85.400002,85.5,80.31546,17990700
22-12-2017,85.400002,85.629997,84.919998,85.510002,80.324844,14145800
26-12-2017,85.309998,85.529999,85.029999,85.400002,80.221504,9891200
27-12-2017,85.650002,85.980003,85.220001,85.709999,80.512711,14678000
28-12-2017,85.900002,85.93,85.550003,85.720001,80.52211,10594300
29-12-2017,85.629997,86.050003,85.5,85.540001,80.353035,18717400
02-01-2018,86.129997,86.309998,85.5,85.949997,80.738159,22483800
03-01-2018,86.059998,86.510002,85.970001,86.349998,81.113899,26061400
04-01-2018,86.589996,87.660004,86.57,87.110001,81.827827,21912000
05-01-2018,87.660004,88.410004,87.43,88.190002,82.842331,23407100
08-01-2018,88.199997,88.580002,87.599998,88.279999,82.926865,22113000
09-01-2018,88.650002,88.730003,87.860001,88.220001,82.870506,19484300
10-01-2018,87.860001,88.190002,87.410004,87.82,82.494774,18652200
11-01-2018,88.129997,88.129997,87.239998,88.080002,82.738998,17808900
12-01-2018,88.669998,89.779999,88.449997,89.599998,84.166832,24271500
16-01-2018,90.099998,90.790001,88.010002,88.349998,82.992638,36599700
17-01-2018,89.080002,90.279999,88.75,90.139999,84.674072,25621200
18-01-2018,89.800003,90.669998,89.660004,90.099998,84.636505,24159700
19-01-2018,90.139999,90.610001,89.660004,90,84.542587,36875000
22-01-2018,90,91.620003,89.739998,91.610001,86.05497,23601600
23-01-2018,91.900002,92.300003,91.540001,91.900002,86.32737,23412800
24-01-2018,92.550003,93.43,91.580002,91.82,86.25222,33277500
25-01-2018,92.470001,93.239998,91.93,92.330002,86.731308,26383200
26-01-2018,93.120003,94.059998,92.580002,94.059998,88.356384,29172200
29-01-2018,95.139999,95.449997,93.720001,93.919998,88.224884,31569900
30-01-2018,93.300003,93.660004,92.099998,92.739998,87.116432,38635100
31-01-2018,93.75,95.400002,93.510002,95.010002,89.248787,48756300
01-02-2018,94.790001,96.07,93.580002,94.260002,88.544258,47227900
02-02-2018,93.639999,93.970001,91.5,91.779999,86.214638,47867800
05-02-2018,90.559998,93.239998,88,88,82.663864,51031500
06-02-2018,86.889999,91.480003,85.25,91.330002,85.791939,67998600
07-02-2018,90.489998,91.769997,89.199997,89.610001,84.176216,41107600
08-02-2018,89.709999,89.879997,84.760002,85.010002,79.855179,55628700
09-02-2018,86.300003,88.93,83.830002,88.18,82.832947,63499100
12-02-2018,88.739998,89.779999,87.93,89.129997,83.725349,35720300
13-02-2018,88.93,90,87.800003,89.830002,84.382889,26407700
14-02-2018,88.510002,90.989998,88.410004,90.809998,85.704185,34960900
15-02-2018,91.209999,92.720001,90.620003,92.660004,87.45015,27823900
16-02-2018,92.449997,93.5,91.800003,92,86.827271,30596900
20-02-2018,91.480003,93.059998,91.010002,92.720001,87.506775,30911700
21-02-2018,92.980003,93.360001,91.489998,91.489998,86.345917,26922500
22-02-2018,92.050003,92.730003,91.360001,91.730003,86.572472,24392800
23-02-2018,93.599998,94.07,92.360001,94.059998,88.771446,26329200
26-02-2018,94.400002,95.449997,94.25,95.419998,90.054977,30199800
27-02-2018,95.739998,95.839996,94.199997,94.199997,88.903564,25869100
28-02-2018,94.839996,95.709999,93.629997,93.769997,88.497734,31167300
01-03-2018,93.989998,94.57,91.839996,92.849998,87.629486,37135600
02-03-2018,91.580002,93.150002,90.860001,93.050003,87.818245,32830400
05-03-2018,92.339996,94.269997,92.260002,93.639999,88.375069,23901600
06-03-2018,94.339996,94.489998,92.940002,93.32,88.073044,22175800
07-03-2018,93.160004,93.940002,92.43,93.860001,88.582695,26716100
08-03-2018,94.269997,95.099998,93.769997,94.43,89.120636,25887800
09-03-2018,95.290001,96.540001,95,96.540001,91.112007,36937300
12-03-2018,96.5,97.209999,96.040001,96.769997,91.329079,26073700
13-03-2018,97,97.239998,93.970001,94.410004,89.101768,35387800
14-03-2018,95.120003,95.410004,93.5,93.849998,88.573265,32132000
15-03-2018,93.529999,94.580002,92.830002,94.18,88.884705,27611000
16-03-2018,94.68,95.379997,93.919998,94.599998,89.281075,49081300
19-03-2018,93.739998,93.900002,92.110001,92.889999,87.667229,33344100
20-03-2018,93.050003,93.769997,93,93.129997,87.893723,23075200
21-03-2018,92.93,94.050003,92.209999,92.480003,87.280281,24457100
22-03-2018,91.269997,91.75,89.660004,89.790001,84.741531,38604700
23-03-2018,89.5,90.459999,87.080002,87.18,82.27829,44068900
26-03-2018,90.610001,94,90.400002,93.779999,88.507195,56396800
27-03-2018,94.940002,95.139999,88.510002,89.470001,84.439522,56569000
28-03-2018,89.82,91.230003,88.870003,89.389999,84.364021,52501100
29-03-2018,90.18,92.290001,88.400002,91.269997,86.138306,45867500
02-04-2018,90.470001,90.879997,87.510002,88.519997,83.542938,48515400
03-04-2018,89.580002,90.050003,87.889999,89.709999,84.666023,37213800
04-04-2018,87.849998,92.760002,87.730003,92.330002,87.138733,35560000
05-04-2018,92.440002,93.07,91.400002,92.379997,87.185905,29771900
06-04-2018,91.489998,92.459999,89.480003,90.230003,85.156792,38026000
09-04-2018,91.040001,93.169998,90.620003,90.769997,85.666412,31533900
10-04-2018,92.389999,93.279999,91.639999,92.879997,87.657784,26812000
11-04-2018,92.010002,93.290001,91.480003,91.860001,86.695152,24872100
12-04-2018,92.43,94.160004,92.43,93.580002,88.318459,26758900
13-04-2018,94.050003,94.18,92.440002,93.080002,87.846558,23346100
16-04-2018,94.07,94.660004,93.419998,94.169998,88.875259,20288100
17-04-2018,95,96.540001,94.879997,96.07,90.668434,26771000
18-04-2018,96.220001,96.720001,95.519997,96.440002,91.017639,21043300
19-04-2018,96.440002,97.07,95.339996,96.110001,90.706184,23552500
20-04-2018,95.910004,96.110001,94.050003,95,89.6586,31154400
23-04-2018,95.739998,96.290001,94.629997,95.349998,89.988937,22331800
24-04-2018,96.239998,96.470001,92.410004,93.120003,87.8843,34524800
25-04-2018,93.300003,93.300003,90.279999,92.309998,87.119835,33729300
26-04-2018,93.550003,95.150002,93.099998,94.260002,88.960205,42529000
